restName,restArea,restRating,restNumRev,itemCat,itemName,itemPrice,itemDesc,itemBest
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Egg Wrap,158,"Egg omelette, iceberg lettuce, onion; wrapped in a flour tortilla; dressed with classic mayo, chili garlic sauce.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Zinger Chicken Wrap,269,"Crispy fried chicken breast, iceberg lettuce, onion; wrapped in a flour tortilla; dressed with classic mayo, thousand island mayo.",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Tandoori Chicken Wrap,269,"Tandoori grilled chicken slice, iceberg lettuce, onion; wrapped in a flour tortilla; dressed with classic mayo, tandoori mayo.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Peri Peri Chicken Wrap,269,"Peri peri grilled chicken slice, iceberg lettuce, onion; wrapped in a flour tortilla; dressed with classic mayo, tandoori mayo.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Snacks,Peri Peri French Fries,145,Crispy french fries sprinkled with homemade peri peri masala.,1
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Virgin Mojito,155,Classic lemonade made with freshly squeezed lemon juice and mint leaves,1
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Kala Khatta Mojito,155,"A refreshing lemonade with kala khatta syrup, lemon and indian spices",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Green Apple Mojito,155,A refreshing lemonade with green apple crush and lemon,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Blue Curacao Mojito,155,A refreshing lemonade with monin blue curacao syrup and lemon.,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Mango Mojito,155,A refreshing lemonade with mango crush and lemon,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Guava Mojito,155,A refreshing lemonade with guava crush and lemon,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Strawberry Mojito,155,A refreshing lemonade with strawberry crush and lemon,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Masala Mojito,155,"Classic lemonade with a twist of indian spices, made with freshly squeezed lemon juice",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Mocktails,Blackcurrant Mojito,155,A refreshing lemonade with blackcurrant crush and lemon,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Shakes,Choco Mocha Frappe,220,A chocolatey version of our thick cold coffee frappe,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Shakes,Exotic Strawberry Shake,220,"Classic and thick shake made with vanilla ice cream, milk, strawberry crush",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Shakes,Exotic Mango Shake,235,"Classic and thick shake made with vanilla ice cream, milk, mango crush",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Shakes,Exotic Blackcurrant Shake,235,"Classic and thick shake made with vanilla ice cream, milk, blackcurrant crush",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Shakes,Chocolate Oreo Blast,235,"A super thick chocolatey shake made with chocolate ice cream , oreo cookies, milk & chocolate sauce",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Shakes,Chocolate KitKat Blast,239,"A super thick chocolatey shake made with chocolate ice cream , kitkat chocolate, milk & chocolate sauce",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Shakes,Kitkat Oreo Blast,249,"A super thick chocolatey shake made with chocolate ice cream , kitkat chocolate, oreo cookies, milk & chocolate sauce",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ginger Chai Megaflask ( Serves 8 - 10),340,Ginger helps ease the cold or flu while also curing nausea and related stomach problems.Fresh hand pounded ginger is added to your Chai and brewed to perfection. Made with fresh milk and the best tea leaves from Assam.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Masala Chai Megaflask ( Serves 8 - 10),340,"Cinnamon is used to cure coughing and sore throats. Cardamom helps improve airflow to the lungs and aids healthy breathing.A handpicked blend of 6 spices - cardamom, pepper, staranise, clove, ginger and cinnamon are infused with the best tea leaves to brew your refreshing cup of Chai. Made with fresh milk.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Sugarless Chai Megaflask ( Serves 8 - 10),340,"The freshest tea leaves sourced from the finest estates, brewed with fresh milk without added sugar for a health-conscious beverage.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ginger Chai Mini Flask ( Serves 4-5),185,Ginger helps ease the cold or flu while also curing nausea and related stomach problems.Fresh hand pounded ginger is added to your Chai and brewed to perfection. Made with fresh milk and the best tea leaves from Assam.,1
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Masala Chai Mini Flask ( Serves 4-5),185,"Cinnamon is used to cure coughing and sore throats. Cardamom helps improve airflow to the lungs and aids healthy breathing.A handpicked blend of 6 spices - cardamom, pepper, staranise, clove, ginger and cinnamon are infused with the best tea leaves to brew your refreshing cup of Chai. Made with fresh milk.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Sugarless Chai Mini Flask ( Serves 4-5),185,"The freshest tea leaves sourced from the finest estates, brewed with fresh milk without added sugar for a health-conscious beverage.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Cutting Chai Megaflask ( Serves 8 - 10),340,The freshest tea leaves are sourced from the finest estates and brewed with fresh milk to you give you our most classic Chai experience.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Cutting Chai Mini Flask ( Serves 4-5),185,The freshest tea leaves are sourced from the finest estates and brewed with fresh milk to you give you our most classic Chai experience.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Masala Chai Uniflask (Serves 1-2),115,"Cinnamon is used to cure coughing and sore throats. Cardamom helps improve airflow to the lungs and aids healthy breathing.A handpicked blend of 6 spices - cardamom, pepper, staranise, clove, ginger and cinnamon are infused with the best tea leaves to brew your refreshing cup of Chai. Made with fresh milk.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ginger Chai - Uniflask (Serves 1-2),115,Ginger helps ease the cold or flu while also curing nausea and related stomach problems.Fresh hand pounded ginger is added to your Chai and brewed to perfection. Made with fresh milk and the best tea leaves from Assam.,1
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Cutting Chai - Uniflask (Serves 1-2),115,A piping hot flask of cutting chai delivered right to your doorstep. The flask serves 10 cups of tea and is assured to remain hot for 1 hour.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kesar Elaichi Chai - UniFlask (Serves 1-2),115,Kesar is an effective tonic to treat cold and fever.Fresh cardamom and fragrant kesar added to your Chai and brewed to perfection with an almondy twist. Made with fresh milk and the best tea leaves from Assam.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kesar Elaichi Chai Mini Flask ( Serves 4-5),185,Kesar is an effective tonic to treat cold and fever.Fresh cardamom and fragrant kesar added to your Chai and brewed to perfection with an almondy twist. Made with fresh milk and the best tea leaves from Assam.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kesar Elaichi Chai Megaflask ( Serves 8 - 10),340,Kesar is an effective tonic to treat cold and fever.Fresh cardamom and fragrant kesar added to your Chai and brewed to perfection with an almondy twist. Made with fresh milk and the best tea leaves from Assam.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Irani Chai - UniFlask (Serves 1-2),115,"Rich, dense milk slow-boiled with caramelised sugar. Made with fresh milk and the best tea leaves from Assam.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Irani Chai Mini Flask ( Serves 4-5),185,"Rich, dense milk slow-boiled with caramelised sugar. Made with fresh milk and the best tea leaves from Assam.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Jaggery Chai Megaflask ( Serves 8 - 10),340,"The goodness of chai enhanced with the sweetness of jaggery, gives the jaggery chai a completely unique and memorable taste!",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Irani Chai Megaflask ( Serves 8 - 10),340,"Rich, dense milk slow-boiled with caramelised sugar. Made with fresh milk and the best tea leaves from Assam.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Jaggery Chai Mini Flask ( Serves 4-5),185,"The freshest tea leaves sourced from the finest estates, brewed with fresh milk and sweetened with jaggery to you give our classic Chai experience with an earthy sweetness.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Jaggery Chai - Uniflask (Serves 1-2),115,"The goodness of chai enhanced with the sweetness of jaggery, gives the jaggery chai a completely unique and memorable taste.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Lemon Grass Megaflask ( Serves 8 - 10),340,A hint of refreshing lemongrass is infused with handpicked tea leaves to brew your lemongrass Chai. Made with fresh milk.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Elaichi Chai Megaflask ( Serves 8 - 10),340,Take a stroll down memory lane! Feel the warmth of real cardamoms in our earthy elaichi chai.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Elaichi Chai Mini Flask ( Serves 4-5),185,Take A Stroll Down Memory Lane! Feel The Warmth Of Real Cardamoms In Our Earthy Elaichi Chai.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Elaichi Chai - Uniflask (Serves 1-2),115,Take a stroll down memory lane! Feel the warmth of real cardamoms in our earthy elaichi chai.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ayurvedic Chai - Uniflask (Serves 1-2),115,Ayurvedic Chai Uni Flask,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ayurvedic Chai Mini Flask ( Serves 4-5),185,"Milk Chai With The Goodness Of Ashwagandha, Tulsi, Turmeric , Mulethi, Pepper And Other Spices. A Thorough Immunity Booster.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ayurvedic Chai Megaflask ( Serves 8 - 10),340,"Milk Chai With The Goodness Of Ashwagandha, Tulsi, Turmeric , Mulethi, Pepper And Other Spices. A Thorough Immunity Booster.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kesar Elaichi Chai Uni Flask (No Added Sugar),115,Kesar is an effective tonic to treat cold and fever.Fresh cardamom and fragrant kesar added to your Chai and brewed to perfection with an almondy twist. Made with fresh milk and the best tea leaves from Assam. No Added Sugar.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kesar Elaichi Chai Mini Flask (No Added Sugar),185,Kesar is an effective tonic to treat cold and fever.Fresh cardamom and fragrant kesar added to your Chai and brewed to perfection with an almondy twist. Made with fresh milk and the best tea leaves from Assam. No Added Sugar.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kesar Elaichi Chai Mega Flask (No Added Sugar),340,Kesar is an effective tonic to treat cold and fever.Fresh cardamom and fragrant kesar added to your Chai and brewed to perfection with an almondy twist. Made with fresh milk and the best tea leaves from Assam. No Added Sugar.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Lemon Chai Megaflask ( Serves 8 - 10),340,Freshly squeezed lemon is added to your Chai and brewed to perfection. Made with fresh tea leaves sourced from the best gardens.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Hot Green Chai Megaflask ( Serves 8 - 10),340,Our green chai is a healthy option infused with cardamom and cinnamon.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ginger Lemon Chai Megaflask ( Serves 8 - 10),340,Ginger helps ease the cold or flu and relieves nausea. Lemon strengthens your immune system and helps fight the common cold.Fresh hand pounded ginger and lemon juice is added to your Chai and brewed to perfection. Made with fresh tea leaves sourced from the best gardens.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Lemon Chai Mini Flask ( Serves 4-5),185,Freshly squeezed lemon is added to your Chai and brewed to perfection. Made with fresh tea leaves sourced from the best gardens.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Ginger Lemon Mini Flask ( Serves 4-5),185,Ginger helps ease the cold or flu and relieves nausea. Lemon strengthens your immune system and helps fight the common cold.Fresh hand pounded ginger and lemon juice is added to your Chai and brewed to perfection. Made with fresh tea leaves sourced from the best gardens.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Hot Green Chai Mini Flask ( Serves 4-5),185,Mini Flask - 500 ML (Serves 4-5),0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Lemon Chai - Uniflask (Serves 1-2),115,Freshly squeezed lemon is added to your Chai and brewed to perfection. Made with fresh tea leaves sourced from the best gardens.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Hot Green Chai - Uniflask (Serves 1-2),115,Our green chai is a healthy option infused with cardamom and cinnamon.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Lemon Grass Mini Flask ( Serves 4-5),185,A hint of refreshing lemongrass is infused with handpicked tea leaves to brew your lemongrass Chai. Made with fresh milk.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Lemon Grass - Uniflask (Serves 1-2),115,A hint of refreshing lemongrass is infused with handpicked tea leaves to brew your lemongrass Chai. Made with fresh milk.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Sulemani Chai Megaflask ( Serves 8 - 10),340,"Cloves are rich in anti-oxidants while lemon strengthens your immune system and helps fight the common cold.The goodness of cardamom, clove and cinnamon pounded and infused with fresh lemon-ginger juice and the finest tea leaves for a refreshing edge to your favourite beverage.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Sulemani Chai Mini Flask ( Serves 4-5),185,"Cloves are rich in anti-oxidants while lemon strengthens your immune system and helps fight the common cold.The goodness of cardamom, clove and cinnamon pounded and infused with fresh lemon-ginger juice and the finest tea leaves for a refreshing edge to your favourite beverage.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Sulemani Chai - Uniflask (Serves 1-2),115,"Cloves are rich in anti-oxidants while lemon strengthens your immune system and helps fight the common cold.The goodness of cardamom, clove and cinnamon pounded and infused with fresh lemon-ginger juice and the finest tea leaves for a refreshing edge to your favourite beverage.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kashmiri Kawah - UniFlask (Serves 1-2),115,"Whole green tea with cinnamon and cardamom, garnished with almonds and saffron.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kashmiri Kawah Mini Flask ( Serves 4-5),185,"Whole green tea with cinnamon and cardamom, garnished with almonds and saffron.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Kashmiri Kawah -  Mega Flask ( Serves 8 - 10),340,"Whole green tea with cinnamon and cardamom, garnished with almonds and saffron.",0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Filter Coffee Megaflask ( Serves 8 - 10),340,Experience the taste of authentic filter coffee at every sip.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Filter Coffee Mini Flask,185,Mini Flask - 500 ML (Serves 4-5).,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Filter Coffee Uniflask,115,Experience the taste of authentic filter coffee at every sip.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Black Filter Coffee Uniflask,115,Coffee is made by pouring hot water over roasted ground Coffee and dripping through a Filter.,0
Chai Point,Villaymma Layouts,4.3,1K+,Hot Beverage,Black Filter Coffee Mini Flask,185,Coffee is made by pouring hot water over roasted ground Coffee and dripping through a Filter.,0
Chai Point,Villaymma Layouts,4.3,1K+,Chilld,Lemon Ice Chai - 300ml,140,Our best tea leaves brewed and served cold with the goodness of fresh lemon juice.,0
